Eff,,Obj_A: % load met,Obj_B: Worst deficit (GW),Obj_C: Cost(£/MWh),Obj_D: CO2 (kg/MWh),GW_nuclear,GW_PV,GW_onshore_wind,GW_offshore_wind,GW_BECCS,GW_OCGT,GW_H2,h_H2,CV
0.18,90,80.83924425,-39.13213995,145.8965994,-61.26918177,5,21.85435784,20,33.17268681,2.5,0.723243075,44.20162473,242.3448029,[0.]
0.18,91,99.99292247,-6.255096447,157.6431428,-41.7149092,5,84.82118384,20,67.97245414,2.5,30.97009883,23.98727774,283.9730852,[0.]
0.18,92,90.9154172,-35.04850004,154.4814913,-40.62787111,5,30.5606035,20,46.36078952,2.5,3.484749843,48.14416843,267.1858371,[0.]
0.18,93,98.87621126,-34.22415072,180.4074861,-56.35283126,5,66.3986666,20,94.07366591,2.5,0.1123709,45.98156771,61.89111868,[0.]
0.18,94,88.52119914,-38.20824657,152.5243314,-62.11137326,5,30.5606035,20,49.68240618,2.5,0.151021707,47.57035669,206.3920112,[0.]
0.18,95,93.91627764,-36.70327127,154.1916,-57.08919165,5,30.62620017,20,64.74822703,2.5,0.723243075,44.39940746,128.3317408,[0.]
0.18,96,99.99997564,-0.409926031,134.8174072,6.952241039,5,69.5058453,20,38.48208853,2.5,38.96431773,19.30937343,68.24481766,[0.]
0.18,97,99.92641325,-14.60785027,163.1994795,-45.05939052,5,52.74822585,20,78.47217355,2.5,21.14248234,36.25325427,124.9190699,[0.]
0.18,98,84.83749461,-39.5231705,139.5085663,-60.03619339,5,68.98520289,20,28.85764031,2.5,0.723243075,46.98527898,45.82942841,[0.]
0.18,99,99.43289992,-21.25705903,176.4734815,-55.83988486,5,30.65033333,20,91.45741127,2.5,0.701138731,45.64224706,264.4856823,[0.]
0.18,0,100,0,119.3983161,73.46055234,5,45.58347281,20,16.61233032,2.5,42.79634451,3.785508484,48.32088681,[0.]
0.18,1,74.98625958,-41.21210954,129.9216257,-72.7437399,5,39.88532409,20,16.86035553,2.5,0.121500877,45.85080878,8.721256011,[0.]
0.18,2,99.9017855,-31.94186764,200.9956027,-55.81720953,5,87.47080867,20,110.8377735,2.5,0.315629022,49.94220343,48.44537031,[0.]
0.18,3,99.92067153,-32.27409668,185.1776338,-55.80109749,5,39.2654221,20,106.5768456,2.5,0.574037901,46.38476422,70.71632417,[0.]
0.18,4,100,0,148.0062221,-55.77410695,5,78.46526486,20,45.07067095,2.5,8.758483081,43.49624483,457.6896847,[0.]
0.18,5,99.9908711,-5.909036154,120.0117896,39.00335093,5,65.00221456,20,21.22206628,2.5,35.02931498,9.29667167,61.89500705,[0.]
0.18,6,85.68653026,-37.63220077,128.0005307,-35.87366257,5,58.64240612,20,19.51285385,2.5,3.461039607,41.68706319,22.87309304,[0.]
0.18,7,99.95351428,-26.26479223,145.7999131,-55.56565152,5,78.46526486,20,44.86719912,2.5,8.758483081,41.15979029,457.8528323,[0.]
0.18,8,100,0,119.9391874,62.64373589,5,34.79886289,20,23.47597561,2.5,41.30852132,2.977933175,150.6881665,[0.]
0.18,9,77.31894284,-40.94522461,130.3259369,-71.02656855,5,40.17167608,20,20.1166318,2.5,0.09330126,46.39161228,8.428275031,[0.]
0.18,10,74.99901804,-41.21210954,130.3531959,-72.73288894,5,39.88532409,20,16.86035553,2.5,0.121500877,46.45573302,8.721256011,[0.]
0.18,11,99.9999248,-0.861169822,122.9125472,17.52790879,5,51.4582395,20,29.90845457,2.5,39.29001871,13.13228416,143.704677,[0.]
0.18,12,90.54700389,-36.69479548,130.0896876,-43.03370039,5,58.33628097,20,29.85717952,2.5,3.461039607,42.70755987,27.48369093,[0.]
0.18,13,100,0,121.8166269,46.79684517,5,73.4374584,20,20.18806655,2.5,45.92879006,4.253714414,47.42429501,[0.]
0.18,14,84.40115338,-39.42389378,133.3590354,-61.51831962,5,39.70034926,20,31.59965345,2.5,0.574037901,46.38476422,8.577533229,[0.]
0.18,15,99.99527686,-11.26148841,147.858375,-55.12419833,5,85.50591866,20,42.73913669,2.5,23.96498838,30.82949436,844.3918111,[0.]
0.18,16,99.15837237,-29.50638884,136.7757718,-49.99118476,5,66.02849527,20,46.79159684,2.5,8.996182935,39.90928057,148.4259007,[0.]
0.18,17,86.47760166,-40.66663331,132.0378866,-62.58092997,5,86.39984788,20,20.7410373,2.5,0.315308788,49.84504427,22.78705615,[0.]
